Filename,Turbine ID,Datetime,Bin1 Power,Bin2 Power,Bin3 Power
2024-08-06 15_30_10.228358Windrover.wav,soundfiles,2024-08-06 15:30:10.228358,-74.99849186068532,-82.93493914770373,-89.8826358436902
2024-08-06 17_30_14.844987Windrover.wav,soundfiles,2024-08-06 17:30:14.844987,-78.46282826982788,-82.71944519576348,-99.10612669044878
2024-08-06 19_30_09.896151Windrover.wav,soundfiles,2024-08-06 19:30:09.896151,-75.70785372911644,-93.93913746159113,-100.8472550450106
2024-08-06 21_30_14.248628Windrover.wav,soundfiles,2024-08-06 21:30:14.248628,-73.48301278811786,-93.81590004138769,-100.86803869758444
2024-08-06 23_30_08.454071Windrover.wav,soundfiles,2024-08-06 23:30:08.454071,-68.38239863207416,-90.95799899586933,-100.81216605342398
2024-08-07 01_30_12.780588Windrover.wav,soundfiles,2024-08-07 01:30:12.780588,-60.53733942167512,-84.30926081027229,-100.3159915893909
2024-08-07 03_30_40.751103Windrover.wav,soundfiles,2024-08-07 03:30:40.751103,-61.56642934866368,-85.82807339552085,-100.29026958034848
2024-08-07 05_30_07.647692Windrover.wav,soundfiles,2024-08-07 05:30:07.647692,-59.662213030714085,-82.99461052851436,-98.63740621560697
2024-08-07 07_30_11.255475Windrover.wav,soundfiles,2024-08-07 07:30:11.255475,-57.306678885712124,-81.62339082028218,-98.74072239980306
2024-08-07 09_30_10.208739Windrover.wav,soundfiles,2024-08-07 09:30:10.208739,-61.733627095761115,-84.14219883107418,-99.68056808716248
2024-08-07 11_30_43.731556Windrover.wav,soundfiles,2024-08-07 11:30:43.731556,-57.28144658105406,-79.80641173674245,-98.83824079961842
2024-08-07 12_30_10.478549Windrover.wav,soundfiles,2024-08-07 12:30:10.478549,-59.60383854265003,-83.78414267326258,-98.02918457100748
2024-08-07 13_30_38.266806Windrover.wav,soundfiles,2024-08-07 13:30:38.266806,-60.613009597819854,-81.16663198575127,-98.10420561101971
2024-08-07 14_30_05.502709Windrover.wav,soundfiles,2024-08-07 14:30:05.502709,-59.689520119536645,-81.87797253026838,-97.53645377125954
2024-08-07 15_30_05.579848Windrover.wav,soundfiles,2024-08-07 15:30:05.579848,-57.585277068366395,-81.55012848749061,-97.06358528188956
2024-08-07 16_30_05.554041Windrover.wav,soundfiles,2024-08-07 16:30:05.554041,-60.02703737555127,-82.93500909992744,-90.36670782988074
2024-08-07 18_30_09.427786Windrover.wav,soundfiles,2024-08-07 18:30:09.427786,-71.43714405375191,-83.04026895450646,-89.93806439353719
2024-08-07 19_30_04.548673Windrover.wav,soundfiles,2024-08-07 19:30:04.548673,-68.76310149560938,-81.91666219888836,-100.68876660462831
2024-08-07 20_30_41.605942Windrover.wav,soundfiles,2024-08-07 20:30:41.605942,-64.87144463474108,-88.4674043002269,-100.79409053282525
2024-08-07 21_30_08.950039Windrover.wav,soundfiles,2024-08-07 21:30:08.950039,-64.27429190983655,-88.52186973764054,-100.758154400215
2024-08-07 22_30_03.610523Windrover.wav,soundfiles,2024-08-07 22:30:03.610523,-68.81377183802827,-90.72570120306375,-100.78228823708554
2024-08-07 23_30_08.119347Windrover.wav,soundfiles,2024-08-07 23:30:08.119347,-66.87771419835127,-89.1057799663595,-100.72532644263524
2024-08-08 00_30_02.782961Windrover.wav,soundfiles,2024-08-08 00:30:02.782961,-60.92889868015113,-84.25173292985832,-100.54805071300947
2024-08-08 01_30_02.939003Windrover.wav,soundfiles,2024-08-08 01:30:02.939003,-62.68319550323517,-86.2290719981527,-100.61447354097935
2024-08-08 02_30_02.571344Windrover.wav,soundfiles,2024-08-08 02:30:02.571344,-61.679046171997996,-84.80861679038665,-100.54749491462353
2024-08-08 04_30_11.449084Windrover.wav,soundfiles,2024-08-08 04:30:11.449084,-62.0566413183332,-84.10435235823576,-90.10872827733837
2024-08-08 06_30_33.899850Windrover.wav,soundfiles,2024-08-08 06:30:33.899850,-64.6782111401587,-88.17821811104344,-98.85637685684881
2024-08-08 08_30_33.734226Windrover.wav,soundfiles,2024-08-08 08:30:33.734226,-65.7548038256809,-89.74805271745745,-99.09049090936529
2024-08-08 09_30_32.528002Windrover.wav,soundfiles,2024-08-08 09:30:32.528002,-61.72766419530546,-83.41325284658446,-90.00404005320095
2024-08-08 11_30_00.974662Windrover.wav,soundfiles,2024-08-08 11:30:00.974662,-55.25357304546175,-82.10470400474263,-98.7959403892211
2024-08-08 12_30_04.812897Windrover.wav,soundfiles,2024-08-08 12:30:04.812897,-58.48828344589463,-79.58331981811129,-89.7577466370382
2024-08-08 13_29_59.596187Windrover.wav,soundfiles,2024-08-08 13:29:59.596187,-59.12951459403474,-78.95055674999787,-97.92454669439516
2024-08-08 14_29_59.995689Windrover.wav,soundfiles,2024-08-08 14:29:59.995689,-61.18559963944179,-80.67529600657691,-98.34649131875545
2024-08-08 16_29_58.542734Windrover.wav,soundfiles,2024-08-08 16:29:58.542734,-58.15534624649714,-79.44795607986441,-99.6535184734955
2024-08-08 17_30_03.840181Windrover.wav,soundfiles,2024-08-08 17:30:03.840181,-62.725701975159666,-86.7912374567046,-99.37020193910652
2024-08-08 18_29_58.954768Windrover.wav,soundfiles,2024-08-08 18:29:58.954768,-60.79596939333485,-79.69998067138027,-89.92878818607116
2024-08-08 19_29_58.287020Windrover.wav,soundfiles,2024-08-08 19:29:58.287020,-66.4876256457876,-80.09062700194949,-100.7561493625576
2024-08-08 20_30_30.913252Windrover.wav,soundfiles,2024-08-08 20:30:30.913252,-61.970774052594166,-83.85037013785197,-90.16241199882836
2024-08-08 21_29_57.449737Windrover.wav,soundfiles,2024-08-08 21:29:57.449737,-60.62105084517831,-85.15908194282147,-100.61028319501398
2024-08-08 22_29_57.927638Windrover.wav,soundfiles,2024-08-08 22:29:57.927638,-62.097083130231695,-85.79972946815721,-100.64214611423857
2024-08-08 23_30_02.538409Windrover.wav,soundfiles,2024-08-08 23:30:02.538409,-62.034752725827744,-84.34637031006402,-90.1141114992977
2024-08-09 00_30_02.081624Windrover.wav,soundfiles,2024-08-09 00:30:02.081624,-65.21952927031832,-88.02914971075134,-100.27532232606887
2024-08-09 01_30_01.803983Windrover.wav,soundfiles,2024-08-09 01:30:01.803983,-62.66585550314282,-84.79547486009785,-90.19999318196841
2024-08-09 02_29_56.820235Windrover.wav,soundfiles,2024-08-09 02:29:56.820235,-61.24607360275131,-84.97653056928412,-100.47018269020836
2024-08-09 03_29_56.595081Windrover.wav,soundfiles,2024-08-09 03:29:56.595081,-63.54835340731314,-86.28931732788317,-100.57882185543866
2024-08-09 04_30_01.706379Windrover.wav,soundfiles,2024-08-09 04:30:01.706379,-65.22325969519326,-88.21981772498731,-100.23441420489578
2024-08-09 06_30_33.475044Windrover.wav,soundfiles,2024-08-09 06:30:33.475044,-61.92043803796053,-85.01349834173647,-98.9430019805807
2024-08-09 07_30_00.631459Windrover.wav,soundfiles,2024-08-09 07:30:00.631459,-60.248022954714095,-84.26189485520621,-98.93130837409467
2024-08-09 08_29_59.982471Windrover.wav,soundfiles,2024-08-09 08:29:59.982471,-62.4976828158363,-85.03875502274605,-89.83667876181039
2024-08-09 09_29_55.150517Windrover.wav,soundfiles,2024-08-09 09:29:55.150517,-56.94355910043464,-82.12280413566236,-90.04396210844683
2024-08-09 10_29_59.606219Windrover.wav,soundfiles,2024-08-09 10:29:59.606219,-60.20861032110487,-83.84776030014245,-99.51484689856153
2024-08-09 11_29_54.714402Windrover.wav,soundfiles,2024-08-09 11:29:54.714402,-69.5033221686293,-86.68783282058172,-98.93042715767788
2024-08-09 12_29_59.459183Windrover.wav,soundfiles,2024-08-09 12:29:59.459183,-57.93924679274368,-80.18034351189769,-97.7703489135176
2024-08-09 13_29_54.066142Windrover.wav,soundfiles,2024-08-09 13:29:54.066142,-58.07596567891254,-81.69388904174376,-98.32316458658929
2024-08-09 14_29_54.213323Windrover.wav,soundfiles,2024-08-09 14:29:54.213323,-59.68328967449324,-82.10731049377038,-90.13984150252098
2024-08-09 15_30_31.325632Windrover.wav,soundfiles,2024-08-09 15:30:31.325632,-59.15612911494495,-79.61391556184876,-98.9761556526187
2024-08-09 16_29_54.210929Windrover.wav,soundfiles,2024-08-09 16:29:54.210929,-55.622611239509055,-81.1137626778082,-99.72829224029341
2024-08-09 17_29_53.354159Windrover.wav,soundfiles,2024-08-09 17:29:53.354159,-55.610864888079455,-80.88149285480982,-98.98125569625542
2024-08-09 18_29_53.104752Windrover.wav,soundfiles,2024-08-09 18:29:53.104752,-64.45778579915549,-80.35257588103768,-90.35488637241517
2024-08-09 19_29_58.412746Windrover.wav,soundfiles,2024-08-09 19:29:58.412746,-67.63843499307141,-82.82013238822918,-90.03309205892336
2024-08-09 20_29_53.095296Windrover.wav,soundfiles,2024-08-09 20:29:53.095296,-71.26356656458418,-92.33457163215874,-100.84928990895727
2024-08-09 21_29_57.437845Windrover.wav,soundfiles,2024-08-09 21:29:57.437845,-67.08751660135854,-89.38486989665229,-100.80388692169751
2024-08-09 22_29_52.355437Windrover.wav,soundfiles,2024-08-09 22:29:52.355437,-71.79136023717435,-92.28449740177092,-100.80224057582163
2024-08-09 23_29_56.726804Windrover.wav,soundfiles,2024-08-09 23:29:56.726804,-66.21232803420237,-86.43891253971483,-90.07236094212296
2024-08-10 00_29_51.501109Windrover.wav,soundfiles,2024-08-10 00:29:51.501109,-70.58847574289977,-91.39156950766001,-100.80744380382083
2024-08-10 01_29_56.902497Windrover.wav,soundfiles,2024-08-10 01:29:56.902497,-69.29498545732864,-87.61731220461502,-90.27777762920621
2024-08-10 02_29_51.689469Windrover.wav,soundfiles,2024-08-10 02:29:51.689469,-59.09069474871136,-82.30631985275397,-98.50537057551853
2024-08-10 03_29_55.625558Windrover.wav,soundfiles,2024-08-10 03:29:55.625558,-60.16736183145844,-83.48526459516712,-100.39502780235026
2024-08-10 04_29_55.608548Windrover.wav,soundfiles,2024-08-10 04:29:55.608548,-58.884947620223556,-82.12825958131803,-90.3378534104943
2024-08-10 05_29_50.446504Windrover.wav,soundfiles,2024-08-10 05:29:50.446504,-62.04021378283605,-85.44023124692039,-100.20941046682168
2024-08-10 06_29_55.403794Windrover.wav,soundfiles,2024-08-10 06:29:55.403794,-62.035561697138704,-85.06249307433508,-99.5690959630673
2024-08-10 07_29_55.134788Windrover.wav,soundfiles,2024-08-10 07:29:55.134788,-65.07040641567475,-87.80903520796105,-99.28161512492085
2024-08-10 08_30_28.412970Windrover.wav,soundfiles,2024-08-10 08:30:28.412970,-58.06306054414,-82.68087290158148,-98.70776888552487
2024-08-10 09_29_49.249169Windrover.wav,soundfiles,2024-08-10 09:29:49.249169,-57.465004823330375,-82.07382670190354,-99.056825606201
2024-08-10 10_29_49.054172Windrover.wav,soundfiles,2024-08-10 10:29:49.054172,-62.01179638953575,-82.47739061698788,-99.68482514305595
2024-08-10 11_29_53.557444Windrover.wav,soundfiles,2024-08-10 11:29:53.557444,-62.276333496577216,-79.5899753089768,-99.15490043766385
2024-08-10 12_29_53.891595Windrover.wav,soundfiles,2024-08-10 12:29:53.891595,-57.65905224518228,-81.42959569778782,-97.58485741495971
2024-08-10 13_29_48.560295Windrover.wav,soundfiles,2024-08-10 13:29:48.560295,-68.32925432547717,-84.24182287446187,-89.79905016034438
