Filename,Turbine ID,Datetime,Bin1 Power,Bin2 Power,Bin3 Power
2024-08-06 16_39_17.301029Windrover.wav,soundfiles,2024-08-06 16:39:17.301029,-67.45421542148088,-87.51976326149277,-100.67587204938634
2024-08-06 17_39_14.709031Windrover.wav,soundfiles,2024-08-06 17:39:14.709031,-76.19586661160051,-86.10827389743991,-100.55556190390072
2024-08-06 19_19_02.642747Windrover.wav,soundfiles,2024-08-06 19:19:02.642747,-75.28055068624255,-88.37929620090148,-100.22615370873586
2024-08-06 19_39_14.690695Windrover.wav,soundfiles,2024-08-06 19:39:14.690695,-76.33623408197097,-90.90825124462208,-100.31825394180002
2024-08-06 19_59_19.189584Windrover.wav,soundfiles,2024-08-06 19:59:19.189584,-80.97066338775389,-96.31512234104144,-100.89908060867333
2024-08-06 20_49_18.806801Windrover.wav,soundfiles,2024-08-06 20:49:18.806801,-88.67335681939268,-96.62030242653229,-100.88771873194105
2024-08-06 21_19_18.836733Windrover.wav,soundfiles,2024-08-06 21:19:18.836733,-85.52916148090932,-96.53192956267837,-100.89616813919707
2024-08-06 21_49_13.816055Windrover.wav,soundfiles,2024-08-06 21:49:13.816055,-82.49671156023177,-96.11641769862963,-100.7934479542498
2024-08-06 22_19_35.763631Windrover.wav,soundfiles,2024-08-06 22:19:35.763631,-83.21659793726161,-96.36969044954994,-100.7989104725508
2024-08-06 22_49_18.671363Windrover.wav,soundfiles,2024-08-06 22:49:18.671363,-82.22624894172377,-89.70627152996676,-90.19078658801276
2024-08-06 23_19_21.038558Windrover.wav,soundfiles,2024-08-06 23:19:21.038558,-81.91413801658172,-96.05698027533495,-100.81141917571745
2024-08-06 23_49_50.887997Windrover.wav,soundfiles,2024-08-06 23:49:50.887997,-80.8952602366858,-95.86937771279017,-100.82036090621946
2024-08-07 00_19_15.591718Windrover.wav,soundfiles,2024-08-07 00:19:15.591718,-75.12744081335819,-92.47321285560707,-95.43983138019743
2024-08-07 00_49_18.232453Windrover.wav,soundfiles,2024-08-07 00:49:18.232453,-89.5674186467486,-96.66684817796704,-100.83855561100712
2024-08-07 01_19_40.637625Windrover.wav,soundfiles,2024-08-07 01:19:40.637625,-89.32591163799982,-96.70226606219921,-100.8380224948609
2024-08-07 01_49_13.049397Windrover.wav,soundfiles,2024-08-07 01:49:13.049397,-89.89972345619614,-96.64520824588547,-100.82927456387202
2024-08-07 02_19_23.143133Windrover.wav,soundfiles,2024-08-07 02:19:23.143133,-86.61436429175394,-95.93575312849056,-100.79591344862202
2024-08-07 02_49_21.421778Windrover.wav,soundfiles,2024-08-07 02:49:21.421778,-76.74870066022262,-96.07132341229843,-100.77654180412678
2024-08-07 03_19_13.068319Windrover.wav,soundfiles,2024-08-07 03:19:13.068319,-77.99492565683299,-96.2324852340088,-100.81555849399592
2024-08-07 03_49_14.258207Windrover.wav,soundfiles,2024-08-07 03:49:14.258207,-78.29534227436622,-96.29124948678177,-100.78447349347553
2024-08-07 04_19_11.886546Windrover.wav,soundfiles,2024-08-07 04:19:11.886546,-78.54288001339495,-96.58619076968775,-100.8179090428414
2024-08-07 04_49_17.295210Windrover.wav,soundfiles,2024-08-07 04:49:17.295210,-77.87081131368599,-96.50763593599635,-100.7855939324375
2024-08-07 05_19_13.804261Windrover.wav,soundfiles,2024-08-07 05:19:13.804261,-77.77592155573919,-96.30129293154327,-100.8109999690291
2024-08-07 05_49_45.202600Windrover.wav,soundfiles,2024-08-07 05:49:45.202600,-78.38522099526384,-96.56716945032743,-100.77574836533529
2024-08-07 06_19_13.747984Windrover.wav,soundfiles,2024-08-07 06:19:13.747984,-79.6197154347278,-96.37116137036274,-100.63229974904021
2024-08-07 06_49_14.980633Windrover.wav,soundfiles,2024-08-07 06:49:14.980633,-78.23942162582458,-96.44302506159593,-100.50912007500739
2024-08-07 07_49_49.127729Windrover.wav,soundfiles,2024-08-07 07:49:49.127729,-70.474399818928,-90.11943865450016,-99.73010305844568
2024-08-07 08_19_12.030880Windrover.wav,soundfiles,2024-08-07 08:19:12.030880,-70.64101369767657,-91.31879216588098,-100.03864487734828
2024-08-07 08_49_11.238132Windrover.wav,soundfiles,2024-08-07 08:49:11.238132,-66.64304632948163,-89.14826997478042,-100.14592261539492
2024-08-07 09_19_16.329365Windrover.wav,soundfiles,2024-08-07 09:19:16.329365,-66.14427428962166,-88.28632911969193,-100.17598638985297
2024-08-07 09_49_18.507610Windrover.wav,soundfiles,2024-08-07 09:49:18.507610,-71.65520983492742,-88.6399201054207,-100.17832130232654
2024-08-07 10_19_16.590078Windrover.wav,soundfiles,2024-08-07 10:19:16.590078,-68.43125301179353,-85.68842008883841,-99.94926361556479
2024-08-07 10_49_16.801323Windrover.wav,soundfiles,2024-08-07 10:49:16.801323,-67.50063045406753,-85.85865703638824,-99.93133741272143
2024-08-07 11_49_11.185501Windrover.wav,soundfiles,2024-08-07 11:49:11.185501,-73.94067907289482,-87.23947143765044,-90.08517166348742
2024-08-07 12_49_44.681872Windrover.wav,soundfiles,2024-08-07 12:49:44.681872,-64.5607293758183,-91.47430218665022,-100.10070065949542
2024-08-07 13_19_14.596301Windrover.wav,soundfiles,2024-08-07 13:19:14.596301,-65.80407432844407,-86.79423613138361,-100.30845859209913
2024-08-07 13_49_37.145625Windrover.wav,soundfiles,2024-08-07 13:49:37.145625,-63.54388018795761,-86.15959787565886,-99.99128506734306
2024-08-07 14_19_17.033849Windrover.wav,soundfiles,2024-08-07 14:19:17.033849,-65.36211351675924,-90.60629477830358,-100.28852151056728
2024-08-07 14_49_09.639373Windrover.wav,soundfiles,2024-08-07 14:49:09.639373,-66.28205439835791,-91.72873289533234,-100.53231181271988
2024-08-07 15_19_40.944267Windrover.wav,soundfiles,2024-08-07 15:19:40.944267,-62.997152555381994,-91.5212294641121,-100.53675828643166
2024-08-07 15_49_10.515373Windrover.wav,soundfiles,2024-08-07 15:49:10.515373,-66.13490659382337,-86.8699540809625,-90.16581885526443
2024-08-07 17_09_41.737243Windrover.wav,soundfiles,2024-08-07 17:09:41.737243,-59.875799681197236,-86.60071174138443,-90.15038871636584
2024-08-07 17_29_10.385689Windrover.wav,soundfiles,2024-08-07 17:29:10.385689,-67.5233267929067,-87.32599876472918,-90.07146831688162
2024-08-07 17_49_13.457665Windrover.wav,soundfiles,2024-08-07 17:49:13.457665,-68.99157146635932,-87.45338472728862,-100.3069457472674
2024-08-07 18_19_10.821990Windrover.wav,soundfiles,2024-08-07 18:19:10.821990,-66.44961147578516,-89.98276005515774,-100.53900535995035
2024-08-07 18_59_13.830360Windrover.wav,soundfiles,2024-08-07 18:59:13.830360,-73.1834788296264,-88.67030860741146,-90.2796404020375
2024-08-07 19_19_09.170337Windrover.wav,soundfiles,2024-08-07 19:19:09.170337,-71.50694031728372,-88.74769122964908,-90.10433695116924
2024-08-07 19_39_40.386668Windrover.wav,soundfiles,2024-08-07 19:39:40.386668,-69.79397917214436,-92.1640280592205,-100.06719591748978
2024-08-07 19_59_27.401550Windrover.wav,soundfiles,2024-08-07 19:59:27.401550,-75.34349349550295,-89.23279606512638,-90.21744420068387
2024-08-07 20_39_42.182380Windrover.wav,soundfiles,2024-08-07 20:39:42.182380,-69.4446837111476,-90.92543085012295,-100.57965021615883
2024-08-07 20_59_13.597483Windrover.wav,soundfiles,2024-08-07 20:59:13.597483,-67.6711667478632,-90.12754988991304,-100.6279515330061
2024-08-07 21_19_08.872959Windrover.wav,soundfiles,2024-08-07 21:19:08.872959,-68.88401206306527,-90.29602235190394,-100.54854426194069
2024-08-07 21_39_27.031186Windrover.wav,soundfiles,2024-08-07 21:39:27.031186,-68.30767428535441,-90.21313033393072,-100.61189013746846
2024-08-07 21_59_12.711804Windrover.wav,soundfiles,2024-08-07 21:59:12.711804,-67.21581850941958,-89.4900363599153,-98.60889492912906
2024-08-07 22_19_07.748472Windrover.wav,soundfiles,2024-08-07 22:19:07.748472,-69.47119860170537,-90.60880297576645,-100.4546836411574
2024-08-07 22_39_15.098552Windrover.wav,soundfiles,2024-08-07 22:39:15.098552,-69.91015414921735,-91.06698298494717,-100.64755309668453
2024-08-07 22_59_08.386461Windrover.wav,soundfiles,2024-08-07 22:59:08.386461,-67.78323489738037,-90.10267037316646,-100.64707733786351
2024-08-07 23_19_13.505531Windrover.wav,soundfiles,2024-08-07 23:19:13.505531,-68.50127431452287,-87.21746223067642,-90.13961347953897
2024-08-07 23_39_12.108699Windrover.wav,soundfiles,2024-08-07 23:39:12.108699,-67.81062650559954,-90.17981048835138,-100.60623298222269
2024-08-08 00_19_20.014835Windrover.wav,soundfiles,2024-08-08 00:19:20.014835,-67.88243311103315,-89.47574571305567,-100.42438588323492
2024-08-08 00_39_14.118769Windrover.wav,soundfiles,2024-08-08 00:39:14.118769,-66.86905382808015,-89.54752361027428,-100.54004331054773
2024-08-08 00_59_07.430769Windrover.wav,soundfiles,2024-08-08 00:59:07.430769,-67.96408873042816,-90.5084615018908,-100.61219135421028
2024-08-08 01_19_08.538190Windrover.wav,soundfiles,2024-08-08 01:19:08.538190,-68.01411675410874,-87.39527742852448,-90.15621836285709
2024-08-08 01_39_08.944141Windrover.wav,soundfiles,2024-08-08 01:39:08.944141,-66.79662697296166,-89.3563536645739,-100.45378081899706
